Reports,LDA_Topic,NMF_Topic,LDA_Topic_Label,NMF_Topic_Label
lack resource student athlete frustrating hard succeed sport academic without proper support,3,1,Campus facilities & services,Student Financial Struggles
university need make sure sport program compliant title ix regulation discrimination tolerated,3,1,Campus facilities & services,Student Financial Struggles
athletic facility accessible student regardless major athletic eligibility everyone opportunity stay active healthy,3,1,Campus facilities & services,Student Financial Struggles
im concerned lack diversity among coach staff sport team important student role model mentor look like,3,1,Campus facilities & services,Student Financial Struggles
sportsrelated injury longlasting effect student health wellbeing important university take preventative measure prioritize safety,3,1,Campus facilities & services,Student Financial Struggles
athletic eligibility requirement unfair student dont opportunity others university take socioeconomic factor account evaluating eligibility,3,1,Campus facilities & services,Student Financial Struggles
sport team culture exclusive cliquey making hard new student feel included important university foster welcoming supportive environment,3,1,Campus facilities & services,Student Financial Struggles
gender inequality sport pervasive issue affect student athlete university promote gender equity empowerment,3,1,Campus facilities & services,Student Financial Struggles
lack option sport athletics program campus disappointing variety would help student find activity enjoy feel passionate,3,1,Campus facilities & services,Student Financial Struggles
student athlete often face unique challenge come balancing sport academic university need provide support resource help succeed,3,1,Campus facilities & services,Student Financial Struggles
frustrated limited access athletic facility campus difficult find time gym field overcrowded,0,0,Access & Online learning issues,Access & online barriers
athletic eligibility requirement strict exclusionary feel like select student able participate sport,3,1,Campus facilities & services,Student Financial Struggles
concerned lack attention given injury sportsrelated medical concern feel like studentathletes given adequate support,3,1,Campus facilities & services,Student Financial Struggles
sport team culture campus toxic exclusionary discouraging see lack respect fellow student,3,1,Campus facilities & services,Student Financial Struggles
disappointed gender inequality sport womens team often underfunded given opportunity men team,3,1,Campus facilities & services,Student Financial Struggles
university need ensure title ix compliance aspect athletics program unacceptable student feel discriminated unsafe,1,1,Career & university Opportunities,Student Financial Struggles
frustrating university invests certain sport program neglecting others important support variety athletic interest,3,1,Campus facilities & services,Student Financial Struggles
athletic department provide resource training coach ensure safe inclusive environment athlete,3,1,Campus facilities & services,Student Financial Struggles
concern lack diversity representation within athletic department staff important student feel seen supported,3,1,Campus facilities & services,Student Financial Struggles
frustrated athletic facility inconsistent hour limited availability peak time,0,0,Access & Online learning issues,Access & online barriers
athletic eligibility requirement revised inclusive student different ability background,3,1,Campus facilities & services,Student Financial Struggles
university need prioritize mental health support studentathletes especially highstress season,3,2,Campus facilities & services,Emotional & Academic Stress
sport team culture need welcoming supportive rather exclusive competitive,3,1,Campus facilities & services,Student Financial Struggles
concerned lack attention given preventing addressing sportsrelated injury important athlete receive adequate care,3,1,Campus facilities & services,Student Financial Struggles
disappointing see unequal distribution resource funding among different sport program campus,3,1,Campus facilities & services,Student Financial Struggles
believe university provide scholarship financial support studentathletes especially underprivileged background,3,1,Campus facilities & services,Student Financial Struggles
university need support mental emotional health studentathletes including providing access therapy counseling service,3,2,Campus facilities & services,Emotional & Academic Stress
athletic department prioritize safety wellbeing athlete rather focusing winning,3,1,Campus facilities & services,Student Financial Struggles
frustrating see gender disparity sport especially come funding support womens team,3,1,Campus facilities & services,Student Financial Struggles
university offer sport program cater student diverse interest ability,3,1,Campus facilities & services,Student Financial Struggles
concern athletic department handling title ix complaint overall culture accountability,3,1,Campus facilities & services,Student Financial Struggles
athletic facility accessible accommodating student disability,1,1,Career & university Opportunities,Student Financial Struggles
concerned lack diversity representation among studentathletes important student equal opportunity,3,1,Campus facilities & services,Student Financial Struggles
disappointing see lack support attention given nonvarsity sport program campus,3,1,Campus facilities & services,Student Financial Struggles
athletic department prioritize mental physical health athlete regardless level competition,3,2,Campus facilities & services,Emotional & Academic Stress
frustrated inconsistent often late communication coach athletic staff,3,3,Campus facilities & services,University & campus experience
important university prioritize safety athlete including implementing proper safety protocol resource injury,3,1,Campus facilities & services,Student Financial Struggles
university invest preventative measure avoid sportsrelated injury promote overall wellness,3,1,Campus facilities & services,Student Financial Struggles
gender disparity sport must addressed rectified ensure equal opportunity student,3,1,Campus facilities & services,Student Financial Struggles
seems scarcity available internship job opening field study,0,1,Access & Online learning issues,Student Financial Struggles
seems scarcity available internship job opening field study,0,1,Access & Online learning issues,Student Financial Struggles
im hard time finding suitable job opportunity align career goal,0,2,Access & Online learning issues,Emotional & Academic Stress
lack available networking opportunity make difficult connect professional desired field,3,1,Campus facilities & services,Student Financial Struggles
professional development opportunity offered university limited sufficient meet demand job market,0,1,Access & Online learning issues,Student Financial Struggles
feel like im competing many student limited number internship job opportunity available,0,1,Access & Online learning issues,Student Financial Struggles
despite effort im struggling find job opening match qualification experience,0,1,Access & Online learning issues,Student Financial Struggles
university need provide networking opportunity student connect alumnus professional,3,1,Campus facilities & services,Student Financial Struggles
career service office offer resource help student navigate job market find suitable employment,0,1,Access & Online learning issues,Student Financial Struggles
lack internship job opportunity making difficult gain practical experience field,0,1,Access & Online learning issues,Student Financial Struggles
feel like im disadvantage job market due limited professional development opportunity provided university,0,1,Access & Online learning issues,Student Financial Struggles
university offer career fair networking event help student connect potential employer,3,1,Campus facilities & services,Student Financial Struggles
frustrating constantly come across dead end searching job opportunity field,3,1,Campus facilities & services,Student Financial Struggles
competition available internship job opening extremely high making even difficult secure employment,0,1,Access & Online learning issues,Student Financial Struggles
university need offer workshop training program help student develop necessary skill job market,0,1,Access & Online learning issues,Student Financial Struggles
job search process extremely challenging timeconsuming due lack available job opportunity,0,1,Access & Online learning issues,Student Financial Struggles
university work establish partnership company organization increase availability internship job opening,0,1,Access & Online learning issues,Student Financial Struggles
im trouble finding job opportunity offer pay benefit need support financially,3,1,Campus facilities & services,Student Financial Struggles
limited availability job opportunity causing great deal stress anxiety future career prospect,0,1,Access & Online learning issues,Student Financial Struggles
university provide resource student learn job opportunity outside immediate area,3,1,Campus facilities & services,Student Financial Struggles
lack job opportunity discouraging make feel like wasted time money education,2,1,Academic Stress & well being,Student Financial Struggles
frustrating limited option come finding job desired field work,0,3,Access & Online learning issues,University & campus experience
university provide resource help student develop necessary networking skill succeed job market,0,1,Access & Online learning issues,Student Financial Struggles
scarcity job opportunity major barrier achieving career goal aspiration,0,1,Access & Online learning issues,Student Financial Struggles
im finding difficult secure job due limited number available opportunity field study,0,1,Access & Online learning issues,Student Financial Struggles
university provide resource help student create maintain professional connection desired field work,3,1,Campus facilities & services,Student Financial Struggles
lack available internship job opportunity causing reconsider career path,0,1,Access & Online learning issues,Student Financial Struggles
challenging stay motivated optimistic job opportunity available,0,1,Access & Online learning issues,Student Financial Struggles
university provide guidance support student navigate job search process,0,1,Access & Online learning issues,Student Financial Struggles
limited number job opportunity making difficult build successful career graduation,0,1,Access & Online learning issues,Student Financial Struggles
university need work expanding network potential employer job opportunity student,0,1,Access & Online learning issues,Student Financial Struggles
university provide enough opportunity internship job field study making difficult gain practical experience,0,1,Access & Online learning issues,Student Financial Struggles
recent graduate struggling find job opportunity align career goal,0,1,Access & Online learning issues,Student Financial Struggles
despite effort network able find meaningful connection could lead job internship opportunity,0,1,Access & Online learning issues,Student Financial Struggles
lack available internship job opportunity area study concerning make worried future prospect,0,1,Access & Online learning issues,Student Financial Struggles
found challenging secure internship job due competitive nature job market,0,1,Access & Online learning issues,Student Financial Struggles
frustrating see job posting require year experience making difficult recent graduate break desired field,0,1,Access & Online learning issues,Student Financial Struggles
trouble finding job opportunity match qualification skillset,2,1,Academic Stress & well being,Student Financial Struggles
despite attending career fair networking event able secure internship job offer,0,1,Access & Online learning issues,Student Financial Struggles
university offer career development program help student find job internship opportunity,0,1,Access & Online learning issues,Student Financial Struggles
lack job internship opportunity available student program disappointing concerning,0,1,Access & Online learning issues,Student Financial Struggles
process finding job opportunity overwhelming confusing,0,1,Access & Online learning issues,Student Financial Struggles
feel though competing many candidate job opportunity available field,3,1,Campus facilities & services,Student Financial Struggles
university connect student potential employer increase internship job opportunity,0,1,Access & Online learning issues,Student Financial Struggles
struggling find job opportunity pay fair wage making difficult support financially,0,1,Access & Online learning issues,Student Financial Struggles
current job market competitive feel impossible find meaningful employment opportunity,0,1,Access & Online learning issues,Student Financial Struggles
found challenging find job opportunity match specific interest career goal,0,1,Access & Online learning issues,Student Financial Struggles
university career service department provide enough resource support student seeking internship job,3,1,Campus facilities & services,Student Financial Struggles
applying job opportunity month luck demoralizing frustrating,0,1,Access & Online learning issues,Student Financial Struggles
limited number internship job opportunity available area make concerned future career prospect,0,1,Access & Online learning issues,Student Financial Struggles
struggling find job opportunity offer type worklife balance desire,0,1,Access & Online learning issues,Student Financial Struggles
university create partnership employer increase internship job opportunity student,0,1,Access & Online learning issues,Student Financial Struggles
despite strong resume relevant experience able find job opportunity field,0,1,Access & Online learning issues,Student Financial Struggles
lack job internship opportunity available student program major issue need addressed university,0,1,Access & Online learning issues,Student Financial Struggles
current job market competitive difficult stand secure job opportunity,0,1,Access & Online learning issues,Student Financial Struggles
struggling find job opportunity align value ethic,0,1,Access & Online learning issues,Student Financial Struggles
despite attending job fair applying numerous opportunity received job offer even interview,0,1,Access & Online learning issues,Student Financial Struggles
university offer support nontraditional student seeking internship job,3,1,Campus facilities & services,Student Financial Struggles
applying job opportunity outside field study hope finding something difficult make progress,0,1,Access & Online learning issues,Student Financial Struggles
feel though competing student prestigious university job opportunity,3,1,Campus facilities & services,Student Financial Struggles
lack job internship opportunity available student major concern want gain practical experience start career,0,1,Access & Online learning issues,Student Financial Struggles
struggling find job opportunity field despite constantly checking job board reaching alumnus networking,0,1,Access & Online learning issues,Student Financial Struggles
university need provide support student looking internship current resource limited helpful,3,1,Campus facilities & services,Student Financial Struggles
feel like im missing important networking opportunity university doesnt offer many event program student connect professional,3,1,Campus facilities & services,Student Financial Struggles
job market highly competitive frustrating limited opportunity professional development,0,1,Access & Online learning issues,Student Financial Struggles
wish job fair career event university hard find opportunity,0,1,Access & Online learning issues,Student Financial Struggles
university need connect student alumnus work field interest difficult find connection,0,1,Access & Online learning issues,Student Financial Struggles
finding job opportunity challenge especially since many require year experience dont student,0,1,Access & Online learning issues,Student Financial Struggles
university need offer workshop training session help student improve networking jobseeking skill,0,1,Access & Online learning issues,Student Financial Struggles
limited internship opportunity made hard gain practical experience field graduation,0,1,Access & Online learning issues,Student Financial Struggles
feel like im come finding job opportunity university offer support guidance area,3,1,Campus facilities & services,Student Financial Struggles
networking crucial part career development feel like im getting enough exposure professional field,3,1,Campus facilities & services,Student Financial Struggles
university partner company offer internship job opportunity student,0,1,Access & Online learning issues,Student Financial Struggles
ive applied numerous internship job havent luck discouraging wish university could help,0,1,Access & Online learning issues,Student Financial Struggles
frustrating see job posting entrylevel position require year experience student supposed gain experience,3,1,Campus facilities & services,Student Financial Struggles
university offer course program focus job searching professional development,3,1,Campus facilities & services,Student Financial Struggles
limited job opportunity forced consider alternative career path disappointing,0,1,Access & Online learning issues,Student Financial Struggles
wish opportunity connect professional outside university like networking event mentorship program,3,1,Campus facilities & services,Student Financial Struggles
finding job opportunity feel like fulltime job university make process easier student,0,1,Access & Online learning issues,Student Financial Struggles
internship essential building experience connection field arent many available university,0,1,Access & Online learning issues,Student Financial Struggles
networking intimidating especially introverted student university offer support resource help student succeed,3,1,Campus facilities & services,Student Financial Struggles
ive applied several job qualified never heard back frustrating wish university could offer guidance area,3,1,Campus facilities & services,Student Financial Struggles
university work local business organization offer job opportunity student,3,1,Campus facilities & services,Student Financial Struggles
difficult find job opportunity relevant interest skill university tailor resource different major field,0,1,Access & Online learning issues,Student Financial Struggles
limited job opportunity made question whether continue pursuing chosen career path,0,1,Access & Online learning issues,Student Financial Struggles
wish university offered opportunity student shadow professional gain handson experience field,3,1,Campus facilities & services,Student Financial Struggles
networking event hosted university often poorly attended make hard connect professional,3,1,Campus facilities & services,Student Financial Struggles
ive tried reach alumnus networking opportunity havent much luck university offer support connecting student alumnus,0,1,Access & Online learning issues,Student Financial Struggles
university partner company offer job opportunity specifically recent graduate,0,1,Access & Online learning issues,Student Financial Struggles
im sure ill able afford finish degree much debt ive already accumulated,1,2,Career & university Opportunities,Emotional & Academic Stress
frustrating scholarship available help cost tuition,1,1,Career & university Opportunities,Student Financial Struggles
im hard time filling financial aid application causing lot stress,1,2,Career & university Opportunities,Emotional & Academic Stress
im worried much student loan debt im going graduate,1,2,Career & university Opportunities,Emotional & Academic Stress
hard balance budget cost living keep going,1,2,Career & university Opportunities,Emotional & Academic Stress
im constantly worrying money making hard focus study,2,2,Academic Stress & well being,Emotional & Academic Stress
wish resource available help student manage finance,3,1,Campus facilities & services,Student Financial Struggles
financial aid office always busy hard get appointment speak someone,1,2,Career & university Opportunities,Emotional & Academic Stress
application process student loan confusing overwhelming,1,1,Career & university Opportunities,Student Financial Struggles
im struggling make end meet even financial aid scholarship,1,2,Career & university Opportunities,Emotional & Academic Stress
cost textbook course material outrageous making difficult afford education,1,0,Career & university Opportunities,Access & online barriers
im worried im going pay everything especially since lost job due pandemic,2,2,Academic Stress & well being,Emotional & Academic Stress
financial aid website constantly making hard submit application time,1,2,Career & university Opportunities,Emotional & Academic Stress
im sure ill able afford finish degree much debt ive already accumulated,1,2,Career & university Opportunities,Emotional & Academic Stress
wish program available help student finance,3,1,Campus facilities & services,Student Financial Struggles
financial aid process slow need money pay tuition,1,2,Career & university Opportunities,Emotional & Academic Stress
frustrating work multiple job afford education,1,2,Career & university Opportunities,Emotional & Academic Stress
im struggling make student loan payment even though fulltime job,1,1,Career & university Opportunities,Student Financial Struggles
financial aid package received much less anticipated im sure im going pay school,1,2,Career & university Opportunities,Emotional & Academic Stress
received financial warning couldnt pay tuition time even though ive everything make end meet,1,2,Career & university Opportunities,Emotional & Academic Stress
wish scholarship available specifically student major,0,1,Access & Online learning issues,Student Financial Struggles
cost living campus way high making hard afford education,1,2,Career & university Opportunities,Emotional & Academic Stress
im constantly worried financial situation affecting mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
frustrating student seem unlimited financial resource rest u struggle make end meet,2,1,Academic Stress & well being,Student Financial Struggles
feel like im drowning student loan debt im sure get,1,1,Career & university Opportunities,Student Financial Struggles
financial aid office disorganized making hard get help need,1,2,Career & university Opportunities,Emotional & Academic Stress
wish resource available help student budgeting financial planning,1,1,Career & university Opportunities,Student Financial Struggles
interest student loan high going take decade pay,1,1,Career & university Opportunities,Student Financial Struggles
im constantly worried enough money pay bill afford education time,1,2,Career & university Opportunities,Emotional & Academic Stress
received letter threatening drop class couldnt make payment time even though ive everything keep expense,1,2,Career & university Opportunities,Emotional & Academic Stress
frustrating work many hour make end meet taking away study time,2,2,Academic Stress & well being,Emotional & Academic Stress
im struggling pay college arent enough scholarship available student program,1,2,Career & university Opportunities,Emotional & Academic Stress
financial aid application process confusing timeconsuming,1,2,Career & university Opportunities,Emotional & Academic Stress
ive hit hard student loan debt affecting ability focus study,1,2,Career & university Opportunities,Emotional & Academic Stress
ive living tight budget since starting college really stressful,2,2,Academic Stress & well being,Emotional & Academic Stress
keep receiving financial warning even though im making regular payment tuition fee,1,2,Career & university Opportunities,Emotional & Academic Stress
cost textbook material high hard afford,1,2,Career & university Opportunities,Emotional & Academic Stress
hard find parttime work pay enough cover expense school,1,2,Career & university Opportunities,Emotional & Academic Stress
im worried im going afford rent utility graduate start paying back loan,1,2,Career & university Opportunities,Emotional & Academic Stress
dont qualify many scholarship major frustrating,1,1,Career & university Opportunities,Student Financial Struggles
financial aid office always crowded understaffed making difficult get help need,1,0,Career & university Opportunities,Access & online barriers
feel like im drowning debt there way,2,2,Academic Stress & well being,Emotional & Academic Stress
even financial aid im struggling make end meet college,1,2,Career & university Opportunities,Emotional & Academic Stress
im constantly worried money affecting mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
college policy around financial aid scholarship confusing unfair,1,2,Career & university Opportunities,Emotional & Academic Stress
ive take multiple job make end meet leaf little time studying extracurricular activity,2,2,Academic Stress & well being,Emotional & Academic Stress
im worried im going pay student loan graduate,1,2,Career & university Opportunities,Emotional & Academic Stress
cost living area surrounding college high making hard afford basic necessity,1,2,Career & university Opportunities,Emotional & Academic Stress
wish opportunity student earn money oncampus job,0,1,Access & Online learning issues,Student Financial Struggles
im constantly stressed money taking toll academic performance,2,2,Academic Stress & well being,Emotional & Academic Stress
financial aid process overwhelming dont even know start,1,2,Career & university Opportunities,Emotional & Academic Stress
im barely able afford food basic necessity top tuition fee,1,2,Career & university Opportunities,Emotional & Academic Stress
wish financial literacy course offered student,1,1,Career & university Opportunities,Student Financial Struggles
frustrating college charge much thing like parking permit meal plan,2,1,Academic Stress & well being,Student Financial Struggles
im worried wont able graduate time cant afford class need,1,2,Career & university Opportunities,Emotional & Academic Stress
college scholarship application process competitive feel like there point even trying,1,1,Career & university Opportunities,Student Financial Struggles
unfair student able afford material need others cant,1,1,Career & university Opportunities,Student Financial Struggles
im struggling balance parttime job coursework affecting grade,2,2,Academic Stress & well being,Emotional & Academic Stress
financial aid office always changing policy making hard keep,1,2,Career & university Opportunities,Emotional & Academic Stress
wish college offered opportunity student earn money paid internship coop,1,1,Career & university Opportunities,Student Financial Struggles
im constantly worried im going pay unexpected expense like medical bill car repair,1,2,Career & university Opportunities,Emotional & Academic Stress
im really struggling pay tuition without financial aid scholarship causing lot stress anxiety,1,2,Career & university Opportunities,Emotional & Academic Stress
financial aid application process complicated timeconsuming almost worth,1,2,Career & university Opportunities,Emotional & Academic Stress
feel like im drowning student loan debt going take year pay,1,1,Career & university Opportunities,Student Financial Struggles
managing finance college student constant struggle especially rising cost living,1,1,Career & university Opportunities,Student Financial Struggles
despite best effort budget save money unexpected expense keep popping throwing track,1,2,Career & university Opportunities,Emotional & Academic Stress
received financial warning late payment even though already paid bill causing lot frustration confusion,1,2,Career & university Opportunities,Emotional & Academic Stress
take private loan pay tuition didnt qualify enough financial aid im worried im going pay back,1,2,Career & university Opportunities,Emotional & Academic Stress
cost textbook course material high hard afford everything need class,1,2,Career & university Opportunities,Emotional & Academic Stress
wish scholarship opportunity available student like dont come wealthy background,3,1,Campus facilities & services,Student Financial Struggles
im hesitant apply financial aid dont want take student loan debt handle,1,2,Career & university Opportunities,Emotional & Academic Stress
even though received financial aid still enough cover expense im struggling make end meet,1,2,Career & university Opportunities,Emotional & Academic Stress
im frustrated lack transparency come tuition fee spent university,1,1,Career & university Opportunities,Student Financial Struggles
financial aid office always busy understaffed hard get help support need,1,1,Career & university Opportunities,Student Financial Struggles
im worried wont able afford attend university next semester tuition rate continue increase,1,2,Career & university Opportunities,Emotional & Academic Stress
wish resource available help learn manage finance college student,3,1,Campus facilities & services,Student Financial Struggles
stress paying college causing lose sleep focus study,2,2,Academic Stress & well being,Emotional & Academic Stress
im frustrated work multiple job pay tuition basic living expense,1,2,Career & university Opportunities,Emotional & Academic Stress
hard focus study im constantly worried im going pay everything,1,2,Career & university Opportunities,Emotional & Academic Stress
received letter stating owe money thought causing lot financial stress,0,2,Access & Online learning issues,Emotional & Academic Stress
lack financial resource support lowincome student really disheartening,3,1,Campus facilities & services,Student Financial Struggles
feel like im constantly cycle debt hard see way,2,2,Academic Stress & well being,Emotional & Academic Stress
im worried wont able pursue dream career cant afford attend graduate school,1,2,Career & university Opportunities,Emotional & Academic Stress
even though job still enough cover expense im struggling make end meet,1,2,Career & university Opportunities,Emotional & Academic Stress
im frustrated choose working pay tuition enough time study succeed class,1,2,Career & university Opportunities,Emotional & Academic Stress
financial burden college causing lot student drop take longer complete degree,1,2,Career & university Opportunities,Emotional & Academic Stress
wish financial workshop resource available campus help student learn managing money,3,1,Campus facilities & services,Student Financial Struggles
constant worry stress finance taking toll mental health,2,2,Academic Stress & well being,Emotional & Academic Stress
received financial aid award much lower expected causing lot financial strain,2,2,Academic Stress & well being,Emotional & Academic Stress
thought graduating thousand dollar student loan debt really scary overwhelming,1,2,Career & university Opportunities,Emotional & Academic Stress
im frustrated student come wealthy family easier time affording college accessing,1,2,Career & university Opportunities,Emotional & Academic Stress
frustrating health insurance doesnt cover medical expense,1,2,Career & university Opportunities,Emotional & Academic Stress
frustrating health insurance doesnt cover medical expense,1,2,Career & university Opportunities,Emotional & Academic Stress
im struggling pay medical expense top tuition bill,1,2,Career & university Opportunities,Emotional & Academic Stress
wish university offered better mental health care access student,3,1,Campus facilities & services,Student Financial Struggles
difficult find affordable mental health care service,2,2,Academic Stress & well being,Emotional & Academic Stress
im concerned quality mental health care afford,2,2,Academic Stress & well being,Emotional & Academic Stress
cant afford medical treatment need without financial assistance,1,2,Career & university Opportunities,Emotional & Academic Stress
frustrating mental health care isnt covered insurance plan,2,2,Academic Stress & well being,Emotional & Academic Stress
ive denied coverage medical expense causing lot stress,1,2,Career & university Opportunities,Emotional & Academic Stress
feel like university help student medical expense,1,1,Career & university Opportunities,Student Financial Struggles
im worried mental health cant afford get care need,1,2,Career & university Opportunities,Emotional & Academic Stress
cost medical treatment preventing getting care need,1,2,Career & university Opportunities,Emotional & Academic Stress
im struggling find mental health care provider accepts insurance,2,2,Academic Stress & well being,Emotional & Academic Stress
frustrating mental health care still stigmatized readily available,3,2,Campus facilities & services,Emotional & Academic Stress
wish university resource student need mental health care,3,1,Campus facilities & services,Student Financial Struggles
cost medication therapy causing lot financial stress,1,2,Career & university Opportunities,Emotional & Academic Stress
im worried ability pay medical expense stay school,1,2,Career & university Opportunities,Emotional & Academic Stress
unfair student choose health education,1,1,Career & university Opportunities,Student Financial Struggles
im hard time finding mental health care provider accepting new patient,2,2,Academic Stress & well being,Emotional & Academic Stress
university mental health care service understaffed overbooked,3,2,Campus facilities & services,Emotional & Academic Stress
wish affordable option mental health care area,3,3,Campus facilities & services,University & campus experience
frustrating pay medical expense pocket wait reimbursement,1,2,Career & university Opportunities,Emotional & Academic Stress
im worried longterm financial impact medical expense student loan,1,2,Career & university Opportunities,Emotional & Academic Stress
feel like im drowning medical debt cant see way,2,2,Academic Stress & well being,Emotional & Academic Stress
lack affordable health insurance option student unacceptable,3,3,Campus facilities & services,University & campus experience
im concerned quality care receive limited insurance option available,3,3,Campus facilities & services,University & campus experience
feel like mental health care need arent taken seriously insurance provider,2,2,Academic Stress & well being,Emotional & Academic Stress
im struggling find medication work doesnt break bank,2,2,Academic Stress & well being,Emotional & Academic Stress
frustrating cost medical treatment high even insurance,1,2,Career & university Opportunities,Emotional & Academic Stress
wish option affordable mental health care outside university,3,3,Campus facilities & services,University & campus experience
im worried wont able afford medical treatment need insurance doesnt cover,1,2,Career & university Opportunities,Emotional & Academic Stress
im really frustrated lack coverage health insurance plan ive pay pocket many medical expense covered,1,2,Career & university Opportunities,Emotional & Academic Stress
cost medical expense really overwhelming even insurance still pay much doctor visit medication treatment,1,2,Career & university Opportunities,Emotional & Academic Stress
ive struggling mental health issue dont access affordable mental health care really discouraging make feel like im taken seriously,2,2,Academic Stress & well being,Emotional & Academic Stress
dealing chronic illness already difficult enough added stress medical expense almost unbearable im constantly worried im going pay treatment,1,2,Career & university Opportunities,Emotional & Academic Stress
wish option mental health care campus hard find affordable therapy counseling wait time appointment way long,2,2,Academic Stress & well being,Emotional & Academic Stress
go emergency room medical emergency im facing huge bill dont know pay really scary overwhelming,1,2,Career & university Opportunities,Emotional & Academic Stress
ive trying find specialist specific medical condition really difficult limited option area one available really expensive,1,3,Career & university Opportunities,University & campus experience
mental health care priority university often feel like afterthought wish funding resource dedicated important issue,3,1,Campus facilities & services,Student Financial Struggles
ive experiencing medical symptom im really worried cant afford see doctor frustrating scary feel like health control,2,2,Academic Stress & well being,Emotional & Academic Stress
even health insurance im constantly getting hit unexpected medical bill hard budget something dont even know cost,1,2,Career & university Opportunities,Emotional & Academic Stress
really frustrating mental health care often seen luxury rather necessity investing mental health resource support student,2,2,Academic Stress & well being,Emotional & Academic Stress
im really grateful health insurance coverage doesnt cover everything cost medication specialist appointment still really high,1,2,Career & university Opportunities,Emotional & Academic Stress
ive putting going doctor im worried cost tough decision make cant afford pay medical expense right,1,2,Career & university Opportunities,Emotional & Academic Stress
wish option affordable health care campus hard prioritize health cost high,3,3,Campus facilities & services,University & campus experience
dealing medical expense really stressful overwhelming wish resource available help student navigate complicated system,1,1,Career & university Opportunities,Student Financial Struggles
mental health care easily accessible everyone frustrating need often cant afford,2,2,Academic Stress & well being,Emotional & Academic Stress
even insurance ive pay thousand dollar pocket medical expense fair something like health care financially crippling,1,2,Career & university Opportunities,Emotional & Academic Stress
ive struggling chronic illness year cost treatment really starting add hard prioritize health im constantly worried money,2,2,Academic Stress & well being,Emotional & Academic Stress
lack mental health resource campus really disappointing hard feel supported option care,2,2,Academic Stress & well being,Emotional & Academic Stress
ive choose paying necessary medical treatment paying expense like rent grocery decision anyone make,1,2,Career & university Opportunities,Emotional & Academic Stress
wish option free lowcost mental health care hard afford something thats essential wellbeing,1,2,Career & university Opportunities,Emotional & Academic Stress
dealing medical bill insurance claim fulltime job,1,1,Career & university Opportunities,Student Financial Struggles
international student find difficult communicate peer language barrier frustrating want involved group project extracurricular activity struggle express properly,2,1,Academic Stress & well being,Student Financial Struggles
feel like cultural gap classmate sometimes dont understand reference make way approach certain topic make hard feel like im truly part community,2,1,Academic Stress & well being,Student Financial Struggles
wish opportunity international student connect comforting talk someone understands unique challenge face would help u feel less isolated,2,1,Academic Stress & well being,Student Financial Struggles
appreciate effort university make provide resource international student sometimes dont go far enough wish language support service cultural event help u feel home,3,1,Campus facilities & services,Student Financial Struggles
struggle participate class discussion im confident language skill frustrating feel like lot contribute im held back lack fluency,2,2,Academic Stress & well being,Emotional & Academic Stress
wish opportunity cultural exchange campus would great learn background experience fellow student share culture,3,1,Campus facilities & services,Student Financial Struggles
hard make friend international student language cultural barrier feel like im missing lot social aspect university life,2,1,Academic Stress & well being,Student Financial Struggles
appreciate effort professor make material accessible international student sometimes still feel like there divide u domestic student,3,1,Campus facilities & services,Student Financial Struggles
wish support system place international student struggling adjust overwhelming navigate new country culture,3,1,Campus facilities & services,Student Financial Struggles
ive negative experience student seem impatient dismissive language difficulty disheartening make feel like outsider,2,1,Academic Stress & well being,Student Financial Struggles
feel like work twice hard student keep exhausting stressful sometimes wonder even worth,1,1,Career & university Opportunities,Student Financial Struggles
wish opportunity language practice outside classroom hard improve skill dont many chance speak native speaker,2,1,Academic Stress & well being,Student Financial Struggles
sometimes feel like professor dont fully understand challenge face international student wish opportunity hear perspective concern,2,1,Academic Stress & well being,Student Financial Struggles
worry language difficulty hold back future career frustrating think might judged harshly native speaker even im qualified,2,2,Academic Stress & well being,Emotional & Academic Stress
appreciate diversity campus sometimes feel like there lack understanding different cultural group wish opportunity u come together learn,3,1,Campus facilities & services,Student Financial Struggles
feel like language difficulty sometimes make seem less intelligent capable really frustrating feel like im judged fairly,2,1,Academic Stress & well being,Student Financial Struggles
wish opportunity international student get involved leadership position campus would great way develop skill contribute university community,3,1,Campus facilities & services,Student Financial Struggles
hard navigate social norm new culture ive embarrassing moment didnt realize rude disrespectful,2,1,Academic Stress & well being,Student Financial Struggles
worry language difficulty make hard network make professional connection frustrating feel like im disadvantage compared native speaker,2,1,Academic Stress & well being,Student Financial Struggles
international student find difficult connect peer speak different language different cultural background challenging navigate social situation form meaningful relationship,2,1,Academic Stress & well being,Student Financial Struggles
wish university offered resource support international student struggling communicate connect others isolating overwhelming foreign country without strong support system,3,1,Campus facilities & services,Student Financial Struggles
feel like im missing lot social opportunity struggle communicate student dont speak language frustrating discouraging,2,1,Academic Stress & well being,Student Financial Struggles
appreciate effort university made create diverse inclusive environment international student still feel like outsider hard find common ground people different experience perspective,3,1,Campus facilities & services,Student Financial Struggles
ive trying improve language skill learn culture country im studying slow process sometimes feel like there language barrier thats impossible overcome,2,1,Academic Stress & well being,Student Financial Struggles
think would helpful university organized event activity specifically designed bring international domestic student together way could learn build stronger relationship,3,1,Campus facilities & services,Student Financial Struggles
appreciate effort fellow student include social circle sometimes feel like theyre polite dont really want get know hard know approach situation,2,1,Academic Stress & well being,Student Financial Struggles
